first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,AGE,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,R,S,T,U,V,Value
Debbi,Dannatt,Female,373,12/28/1958,65,Technical Writer,n/a,Affluent Customer,N,No,6,3 Pepper Wood Hill,4218,QLD,Australia,10,0.41,0.41,0.51,0.51,287,1.04
Giana,Staresmeare,Female,374,4/20/1976,48,Account Representative IV,Retail,Affluent Customer,N,Yes,9,8737 Scoville Center,2770,NSW,Australia,7,0.84,1.05,1.31,1.31,289,1.038
Morton,Petkens,Male,375,11/13/1990,33,Account Coordinator,Manufacturing,High Net Worth,N,Yes,10,385 Montana Place,3012,VIC,Australia,1,0.68,0.85,1.06,1.06,289,1.038
Vittoria,Whitney,Female,376,6/3/1981,42,Research Assistant I,n/a,High Net Worth,N,No,12,3 Surrey Court,2019,NSW,Australia,11,0.62,0.62,0.78,0.78,291,1.036
Paquito,Atwood,Male,377,7/30/1972,51,Nuclear Power Engineer,Manufacturing,Affluent Customer,N,No,9,2 Magdeline Street,3199,VIC,Australia,8,0.6,0.6,0.75,0.75,291,1.036
Dimitri,Tribbeck,Male,378,12/7/1958,65,Chief Design Engineer,n/a,Affluent Customer,N,No,20,93235 Hoard Trail,3165,VIC,Australia,6,0.46,0.46,0.58,0.58,291,1.036
Shelli,Bartholomaus,Female,379,5/11/1963,61,Associate Professor,Health,Mass Customer,N,Yes,6,356 Carberry Avenue,3082,VIC,Australia,7,0.81,1.01,1.27,1.08,291,1.036
Kermit,Lebond,Male,380,2/1/1980,44,Financial Advisor,Financial Services,Mass Customer,N,No,4,71 Ludington Center,4208,QLD,Australia,8,0.84,0.84,1.05,0.89,295,1.031
Biddie,Gorce,Female,381,1/30/1988,36,Senior Financial Analyst,Financial Services,Mass Customer,N,Yes,5,2116 Continental Terrace,2795,NSW,Australia,7,0.49,0.61,0.77,0.65,295,1.031
Rupert,Marrow,Male,382,8/8/1970,53,,Property,High Net Worth,N,No,19,2 7th Way,2760,NSW,Australia,8,0.46,0.46,0.575,0.575,297,1.030625
Geoff,Sitford,Male,383,2/27/1965,59,Account Executive,Financial Services,Mass Customer,N,Yes,4,7 Elgar Road,2148,NSW,Australia,8,0.96,1.2,1.5,1.28,297,1.031
Ange,Chitham,Female,384,2/14/1991,33,,Argiculture,Mass Customer,N,No,10,00003 Hoffman Pass,2560,NSW,Australia,8,0.51,0.51,0.6375,0.541875,297,1.030625
Tiphanie,Blackader,Female,385,10/8/1947,76,Physical Therapy Assistant,Retail,Mass Customer,N,No,17,71 Stone Corner Avenue,2007,NSW,Australia,11,0.42,0.42,0.53,0.45,297,1.031
Zollie,Crinidge,Male,386,1/10/1988,36,Systems Administrator I,Retail,Mass Customer,N,Yes,10,0 Esker Avenue,4019,QLD,Australia,5,0.47,0.59,0.73,0.62,297,1.031
Daisy,Pollen,Female,387,8/9/1993,30,Cost Accountant,Financial Services,Mass Customer,N,No,7,61825 Debs Terrace,3167,VIC,Australia,9,0.86,0.86,1.08,0.91,302,1.03
Emelen,Bidnall,Male,388,8/5/1981,42,Systems Administrator IV,Health,Affluent Customer,N,Yes,11,11 Oak Terrace,2026,NSW,Australia,12,0.41,0.51,0.64,0.64,302,1.03
Linette,Boman,Female,389,5/20/1949,74,Account Executive,n/a,Affluent Customer,N,No,11,7 Michigan Hill,2076,NSW,Australia,11,1.03,1.03,1.29,1.29,304,1.025
Manya,Abramovici,Female,390,7/17/1955,68,Quality Engineer,Financial Services,High Net Worth,N,Yes,13,8 Randy Park,4214,QLD,Australia,8,1.07,1.34,1.67,1.67,304,1.025
Brynna,Tivers,Female,391,8/9/1974,49,Recruiting Manager,Financial Services,Mass Customer,N,No,6,0 Mayfield Parkway,4272,QLD,Australia,7,0.45,0.45,0.56,0.48,304,1.025
Art,Carolan,Male,392,11/9/1954,69,Marketing Manager,n/a,Affluent Customer,N,Yes,11,57903 Hanson Parkway,2570,NSW,Australia,9,0.9,1.13,1.41,1.41,304,1.025
Alfi,Sabbins,Female,393,6/12/1959,64,,Financial Services,High Net Worth,N,Yes,18,763 Ridgeway Place,2344,NSW,Australia,3,0.48,0.6,0.75,0.75,304,1.025
Loleta,Aberdalgy,Female,394,2/15/1981,43,Occupational Therapist,Health,Mass Customer,N,No,11,99 Westend Court,2287,NSW,Australia,6,0.89,0.89,1.11,0.95,304,1.025
Aldric,Birney,Male,395,8/19/1971,52,,Manufacturing,Mass Customer,N,Yes,14,5 Caliangt Center,2546,NSW,Australia,6,1.01,1.2625,1.578125,1.34140625,310,1.02265625
Natividad,Balducci,Female,396,2/7/1991,33,,Property,High Net Worth,N,Yes,10,4472 Washington Junction,3206,VIC,Australia,11,0.47,0.5875,0.734375,0.734375,310,1.02265625
Claudine,Dymick,Female,397,12/13/1965,58,Design Engineer,Health,Mass Customer,N,No,5,31675 Corry Way,3977,VIC,Australia,5,0.97,0.97,1.21,1.03,312,1.02
Seamus,Cains,Male,398,12/15/1989,34,Teacher,Manufacturing,High Net Worth,N,No,7,4882 Dakota Center,2305,NSW,Australia,8,0.6,0.6,0.75,0.75,312,1.02
Guss,Karim,Male,399,11/24/1968,55,Senior Sales Associate,Manufacturing,Mass Customer,N,No,7,4 Warner Circle,2227,NSW,Australia,11,0.9,0.9,1.13,0.96,312,1.02
Julietta,Setchfield,Female,400,1/31/1992,32,Operator,n/a,High Net Worth,N,Yes,3,4 Manufacturers Crossing,4170,QLD,Australia,8,0.55,0.69,0.86,0.86,312,1.02
Roch,Symson,Female,401,5/13/1978,45,Office Assistant I,Manufacturing,High Net Worth,N,No,18,016 Westport Park,3073,VIC,Australia,9,0.99,0.99,1.24,1.24,312,1.02
Audry,Fann,Female,402,10/17/1957,66,Pharmacist,Health,Mass Customer,N,Yes,15,19 Debs Parkway,3029,VIC,Australia,6,0.59,0.74,0.92,0.78,312,1.02
Cecelia,Cisar,Female,403,3/26/1985,39,,Property,Mass Customer,N,Yes,15,665 Sachs Way,4212,QLD,Australia,7,1.05,1.3125,1.640625,1.39453125,312,1.02
Clari,Voas,Female,404,7/28/1955,68,Human Resources Assistant II,Health,Affluent Customer,N,Yes,14,4110 Mifflin Center,2127,NSW,Australia,8,1.03,1.29,1.61,1.61,312,1.02
Zach,Hedman,Male,405,9/11/1981,42,Analyst Programmer,Financial Services,Affluent Customer,N,Yes,4,62 Spaight Center,2566,NSW,Australia,9,0.61,0.76,0.95,0.95,320,1.016
Paxon,Roomes,Male,406,11/6/1976,47,Information Systems Manager,n/a,High Net Worth,N,Yes,7,3 Express Lane,3021,VIC,Australia,7,0.78,0.98,1.22,1.22,320,1.016
Parnell,Lamprey,Male,407,4/8/1977,47,Engineer III,Financial Services,High Net Worth,N,No,12,7353 Mallard Junction,2165,NSW,Australia,6,0.73,0.73,0.91,0.91,322,1.013
Honey,Gosdin,Female,408,11/29/1981,42,Software Engineer I,Property,Mass Customer,N,No,17,066 Warner Trail,2582,NSW,Australia,9,0.42,0.42,0.53,0.45,322,1.013
Sonny,McCart,Male,409,8/27/1992,31,Account Representative I,Manufacturing,High Net Worth,N,No,9,52752 Barby Hill,3020,VIC,Australia,9,0.8,0.8,1,1,324,1.01
Rozamond,Turtle,U,410,,124,Legal Assistant,IT,Mass Customer,N,Yes,3,57025 New Castle Street,3850,VIC,Australia,3,0.92,1.15,1.44,1.22,324,1.01
Deirdre,Burgoine,Female,411,1/8/1955,69,Programmer III,Health,High Net Worth,N,No,7,0 Stoughton Park,3000,VIC,Australia,1,0.86,0.86,1.08,1.08,326,1.009
Haleigh,,Female,412,5/19/1952,71,Senior Sales Associate,Financial Services,Mass Customer,N,Yes,18,49 Jana Point,4503,QLD,Australia,4,0.64,0.8,1,0.85,326,1.009
Aldridge,Poskitt,Male,413,2/10/1982,42,VP Sales,n/a,Mass Customer,N,No,12,7 Fordem Point,4161,QLD,Australia,5,0.8,0.8,1,0.85,326,1.009
Zechariah,McReidy,Male,414,7/22/1978,45,Technical Writer,Manufacturing,High Net Worth,N,No,21,797 Westend Street,4207,QLD,Australia,6,1,1,1.25,1.25,329,1
Carry,Costi,Female,415,11/26/1972,51,Senior Developer,Property,Mass Customer,N,No,11,5316 Farwell Hill,2800,NSW,Australia,4,1.05,1.05,1.31,1.12,329,1
Alon,,Male,416,6/23/1999,24,Accountant IV,n/a,Affluent Customer,N,No,9,770 Crest Line Parkway,4218,QLD,Australia,3,1.03,1.03,1.29,1.29,329,1
Ahmed,Pickthorne,Male,417,12/25/1959,64,Marketing Manager,n/a,High Net Worth,N,Yes,15,50 American Street,2147,NSW,Australia,9,0.86,1.08,1.34,1.34,329,1
Nil,Shirer,Male,418,9/27/1997,26,Librarian,Entertainment,Mass Customer,N,Yes,7,4793 Mcbride Pass,3013,VIC,Australia,8,0.48,0.6,0.75,0.64,329,1
Erhard,O'Moylane,Male,419,5/27/1978,45,Media Manager I,Retail,Affluent Customer,N,Yes,9,01124 Dottie Lane,3630,VIC,Australia,2,0.62,0.78,0.97,0.97,334,0.999
Vitia,Axtens,Female,420,8/8/1945,78,Financial Advisor,Financial Services,Mass Customer,N,Yes,15,42681 Carey Alley,2011,NSW,Australia,10,0.46,0.58,0.72,0.61,334,0.999
Haskell,Moxted,Male,421,8/27/1943,80,Civil Engineer,Manufacturing,Mass Customer,N,No,7,2941 Talisman Alley,2145,NSW,Australia,9,0.72,0.72,0.9,0.77,334,0.999
Ebony,Conrad,Female,422,10/24/1999,24,Environmental Tech,Financial Services,Mass Customer,N,Yes,16,990 Hoffman Avenue,3029,VIC,Australia,7,0.66,0.83,1.03,0.88,334,0.999
Lincoln,Boler,Male,423,1/24/1976,48,Chief Design Engineer,n/a,Affluent Customer,N,No,14,5 Summer Ridge Court,3207,VIC,Australia,8,1.05,1.05,1.31,1.31,338,0.996
Vladimir,Westmerland,Male,424,6/19/1956,67,,Manufacturing,Mass Customer,N,Yes,18,102 Charing Cross Terrace,2640,NSW,Australia,4,0.8,1,1.25,1.0625,338,0.99609375
Kylynn,Drowsfield,Female,425,3/28/1975,49,Editor,n/a,High Net Worth,N,Yes,7,5 Trailsway Avenue,3059,VIC,Australia,9,0.58,0.73,0.91,0.91,338,0.996
Nicole,Ruckhard,Female,426,10/9/1969,54,Human Resources Manager,Health,Affluent Customer,N,Yes,17,23694 Leroy Place,4560,QLD,Australia,3,0.95,1.19,1.48,1.48,341,0.99
Celestina,Lethardy,Female,427,12/11/1968,55,Software Consultant,IT,Mass Customer,N,Yes,11,53 Memorial Street,3163,VIC,Australia,10,0.55,0.69,0.86,0.73,341,0.99
Tannie,Petrakov,Male,428,11/27/1951,72,Data Coordiator,IT,Affluent Customer,N,No,10,691 Valley Edge Alley,4078,QLD,Australia,6,0.7,0.7,0.88,0.88,341,0.99
Bessy,Saladin,Female,429,12/22/1939,84,VP Marketing,Manufacturing,Mass Customer,N,Yes,16,60073 Pankratz Pass,4075,QLD,Australia,10,0.56,0.7,0.88,0.74,341,0.99
Diego,Van den Broek,Male,430,9/28/1964,59,Business Systems Development Analyst,Manufacturing,Affluent Customer,N,Yes,13,8 Schlimgen Drive,4055,QLD,Australia,7,0.8,1,1.25,1.25,345,0.988
Lucilia,Minshall,Female,431,4/15/1952,72,,IT,Mass Customer,N,Yes,7,0237 Mallard Place,2750,NSW,Australia,8,0.92,1.15,1.4375,1.221875,345,0.988125
Cissiee,Pollington,Female,432,7/21/1941,82,Associate Professor,Property,Mass Customer,N,Yes,7,69710 Northfield Center,2256,NSW,Australia,9,0.78,0.98,1.22,1.04,345,0.988
Eddy,Sturch,Male,433,2/11/1961,63,Software Consultant,Financial Services,High Net Worth,N,Yes,17,1 Kinsman Crossing,4158,QLD,Australia,6,1.01,1.26,1.58,1.58,345,0.988
Caron,Kezar,Female,434,8/8/1953,70,Social Worker,Health,Mass Customer,N,No,5,40553 Rigney Avenue,2835,NSW,Australia,1,1.08,1.08,1.35,1.15,349,0.988
Sandor,Stirland,Male,435,5/26/1981,42,Web Developer IV,Manufacturing,High Net Worth,N,No,12,48578 Farmco Park,3235,VIC,Australia,10,0.54,0.54,0.68,0.68,349,0.988
Gallagher,Bromell,Male,436,12/2/1956,67,Assistant Manager,n/a,Mass Customer,N,No,17,91634 Badeau Crossing,4556,QLD,Australia,8,0.52,0.52,0.65,0.55,349,0.988
Murial,Bulloch,Female,437,10/1/1964,59,,Financial Services,Mass Customer,N,No,13,391 Old Shore Lane,2011,NSW,Australia,6,0.8,0.8,1,0.85,349,0.9875
Delinda,Ech,Female,438,10/21/1944,79,Environmental Specialist,Argiculture,Mass Customer,N,Yes,17,28 Golf View Terrace,3101,VIC,Australia,10,0.96,1.2,1.5,1.28,349,0.988
Hussein,Tapenden,Male,439,10/19/1953,70,Pharmacist,Health,Affluent Customer,N,Yes,12,0197 Sachs Avenue,2747,NSW,Australia,8,0.5,0.63,0.78,0.78,349,0.988
Giulietta,Garbott,Female,440,2/27/2002,22,Technical Writer,n/a,Affluent Customer,N,Yes,14,48297 Stuart Circle,3810,VIC,Australia,5,1,1.25,1.56,1.56,355,0.984
Kaylyn,Jakaway,Female,441,7/30/1980,43,Registered Nurse,Health,Affluent Customer,N,No,10,67 Heath Circle,2290,NSW,Australia,8,0.88,0.88,1.1,1.1,356,0.983
Brynn,Goodyear,Female,442,11/10/1944,79,Human Resources Manager,Health,Mass Customer,N,Yes,11,3 Sheridan Lane,3075,VIC,Australia,7,0.7,0.88,1.09,0.93,356,0.983
Otis,,Male,443,1/11/1971,53,Electrical Engineer,Manufacturing,Affluent Customer,N,No,12,04 Oakridge Plaza,2075,NSW,Australia,11,0.88,0.88,1.1,1.1,358,0.98
Tamas,Swatman,U,444,,124,Assistant Media Planner,Entertainment,Affluent Customer,N,No,5,78 Clarendon Drive,4551,QLD,Australia,8,0.4,0.4,0.5,0.5,358,0.98
Pace,Clemonts,Male,445,7/28/1990,33,Media Manager IV,Retail,High Net Worth,N,No,10,335 Cambridge Hill,3122,VIC,Australia,7,0.53,0.53,0.66,0.66,358,0.98
Tracy,Andrejevic,U,446,,124,Programmer II,IT,Mass Customer,N,Yes,11,5675 Burning Wood Trail,3030,VIC,Australia,7,0.87,1.09,1.36,1.16,361,0.978
Muffin,Grigolon,Male,447,10/31/1979,44,Senior Editor,Telecommunications,Mass Customer,N,No,12,4597 Marcy Point,2232,NSW,Australia,10,0.89,0.89,1.11,0.95,361,0.978
Allsun,Biner,Female,448,12/26/1997,26,Nurse Practicioner,Financial Services,Mass Customer,N,Yes,10,9 Walton Way,2641,NSW,Australia,2,0.42,0.53,0.66,0.56,361,0.978
Kenneth,Elleyne,Male,449,9/3/1957,66,Technical Writer,Financial Services,Mass Customer,N,No,13,27429 Dottie Plaza,3145,VIC,Australia,11,0.49,0.49,0.61,0.52,361,0.978
Clotilda,Southers,Female,450,11/8/1999,24,Computer Systems Analyst II,Financial Services,Mass Customer,N,Yes,15,42 Donald Hill,2323,NSW,Australia,4,0.41,0.51,0.64,0.54,361,0.978
Augustus,Bourley,Male,451,8/17/1981,42,,Health,Affluent Customer,N,No,18,3 Hoepker Parkway,4152,QLD,Australia,10,0.82,0.82,1.025,1.025,366,0.975
Daisi,Tinwell,Female,452,12/24/1971,52,Business Systems Development Analyst,Financial Services,Mass Customer,N,No,11,19561 Express Street,2777,NSW,Australia,8,0.6,0.6,0.75,0.64,366,0.975
Gerik,Woodroof,Male,453,6/13/1959,64,Paralegal,Financial Services,High Net Worth,N,Yes,9,41 Kropf Road,3175,VIC,Australia,7,0.55,0.69,0.86,0.86,366,0.975
Claresta,MacConnulty,Female,454,10/1/1957,66,Recruiting Manager,n/a,Mass Customer,N,Yes,20,0516 Fremont Point,2026,NSW,Australia,9,0.77,0.96,1.2,1.02,366,0.975
Arty,Fontelles,Male,455,10/21/1994,29,Help Desk Technician,IT,High Net Worth,N,No,4,7872 South Junction,3197,VIC,Australia,4,1.03,1.03,1.29,1.29,370,0.97
Giulia,Hazart,Female,456,8/2/1978,45,Help Desk Technician,n/a,Mass Customer,N,No,11,81 Donald Parkway,4218,QLD,Australia,11,0.7,0.7,0.88,0.74,371,0.969
Whit,Emloch,Male,457,8/20/1963,60,Food Chemist,Health,Mass Customer,N,Yes,6,105 Carpenter Court,2220,NSW,Australia,9,0.99,1.24,1.55,1.31,372,0.967
Rowan,Summerly,Male,458,7/5/1974,49,Librarian,Entertainment,Mass Customer,N,No,9,58231 Tomscot Plaza,2209,NSW,Australia,10,0.7,0.7,0.88,0.74,372,0.967
Ian,Rabat,Male,459,8/4/1975,48,Web Designer I,Financial Services,Affluent Customer,N,No,11,3 Loeprich Point,3204,VIC,Australia,11,0.69,0.69,0.86,0.86,372,0.967
Agneta,McAmish,U,460,,124,Structural Analysis Engineer,IT,Mass Customer,N,No,15,5773 Acker Way,4207,QLD,Australia,6,0.93,0.93,1.16,0.99,375,0.96
Reginald,Jermy,Male,461,9/12/1960,63,Director of Sales,n/a,High Net Worth,N,Yes,20,540 Katie Street,4128,QLD,Australia,8,0.47,0.59,0.73,0.73,375,0.96
Link,Gorini,Male,462,11/9/1974,49,,IT,High Net Worth,N,No,10,9495 Jenna Way,4600,QLD,Australia,2,0.88,0.88,1.1,1.1,375,0.96
Harriet,Brattan,Female,463,12/3/1986,37,Human Resources Assistant I,Financial Services,High Net Worth,N,No,2,66 Ruskin Parkway,3579,VIC,Australia,1,0.43,0.43,0.54,0.54,378,0.956
Sada,Branton,Female,464,6/24/1974,49,Nuclear Power Engineer,Manufacturing,Affluent Customer,N,No,14,9736 Mitchell Pass,3199,VIC,Australia,6,0.7,0.7,0.88,0.88,378,0.956
Jenelle,Mc-Kerley,Female,465,1/23/1942,82,Data Coordiator,Financial Services,Mass Customer,N,Yes,16,9 Springview Terrace,4068,QLD,Australia,5,0.44,0.55,0.69,0.58,378,0.956
Gabrila,Toopin,Female,466,1/14/1963,61,Junior Executive,Manufacturing,Mass Customer,N,No,12,1914 Oakridge Place,2456,NSW,Australia,6,0.72,0.72,0.9,0.77,378,0.956
Almira,Mangion,Female,467,1/24/1996,28,VP Product Management,Financial Services,Affluent Customer,N,Yes,2,179 Anzinger Center,2230,NSW,Australia,12,0.45,0.56,0.7,0.7,382,0.95
Arty,Strudwick,Male,468,1/31/1964,60,Data Coordiator,Health,Mass Customer,N,Yes,8,62 Melrose Court,2211,NSW,Australia,10,0.51,0.64,0.8,0.68,382,0.95
Alexa,Dillet,Female,469,10/5/1944,79,Product Engineer,Entertainment,Affluent Customer,N,No,17,84650 Novick Point,2261,NSW,Australia,7,0.4,0.4,0.5,0.5,382,0.95
Palmer,Heaven,Male,470,5/18/1995,28,Staff Scientist,Financial Services,Affluent Customer,N,Yes,9,5 Hoard Parkway,3754,VIC,Australia,6,0.91,1.14,1.42,1.42,382,0.95
Porter,Buckenhill,Male,471,6/14/1954,69,Help Desk Operator,Manufacturing,High Net Worth,N,Yes,9,376 Talmadge Street,4124,QLD,Australia,7,0.91,1.14,1.42,1.42,386,0.946
Kizzee,Kemston,Female,472,9/29/1961,62,,Health,Mass Customer,N,No,13,5979 Green Ridge Way,2767,NSW,Australia,8,0.78,0.78,0.975,0.82875,386,0.945625
Isadora,Ducker,Female,473,8/25/1973,50,Account Executive,n/a,Affluent Customer,N,Yes,8,2972 Holy Cross Crossing,3153,VIC,Australia,5,0.41,0.51,0.64,0.64,386,0.946
Giffie,Offill,Male,474,3/2/1993,31,Structural Engineer,Telecommunications,Affluent Customer,N,No,5,89 Riverside Court,4740,QLD,Australia,3,0.9,0.9,1.13,1.13,386,0.946
Fara,Sarath,Female,475,6/30/1948,75,Quality Control Specialist,n/a,Mass Customer,N,No,22,540 Forest Run Plaza,2168,NSW,Australia,7,1.02,1.02,1.28,1.08,386,0.946
Carolann,Raatz,Female,476,2/26/1979,45,Chief Design Engineer,n/a,High Net Worth,N,No,21,817 Bunker Hill Place,3977,VIC,Australia,6,0.74,0.74,0.93,0.93,386,0.946
Tamar,Windmill,Female,477,8/28/1939,84,Senior Editor,Manufacturing,Affluent Customer,N,No,10,4669 Troy Place,2207,NSW,Australia,10,0.66,0.66,0.83,0.83,386,0.946
Kipp,Stockport,Male,478,12/10/1982,41,Data Coordiator,Retail,Mass Customer,N,Yes,6,02 Roth Drive,2022,NSW,Australia,11,1.03,1.29,1.61,1.37,386,0.946
Packston,Wackett,Male,479,4/26/1950,74,Quality Engineer,Financial Services,Mass Customer,N,No,19,7 Northridge Court,3192,VIC,Australia,9,0.72,0.72,0.9,0.77,386,0.946
Hanson,Eastes,Male,480,5/20/1990,33,,Manufacturing,Mass Customer,N,Yes,5,5735 Starling Plaza,3056,VIC,Australia,9,0.43,0.5375,0.671875,0.57109375,395,0.94
Demetria,Bausor,Female,481,12/22/1961,62,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,9,97 Transport Plaza,2097,NSW,Australia,12,0.9,1.13,1.41,1.2,396,0.938
Lura,Fawdrie,Female,482,1/17/2002,22,VP Sales,Health,Mass Customer,N,Yes,4,67183 Anniversary Parkway,4211,QLD,Australia,3,1.03,1.29,1.61,1.37,396,0.938
Nora,Anselm,Female,483,1/5/1961,63,,Entertainment,High Net Worth,N,Yes,15,2 Emmet Parkway,4342,QLD,Australia,5,0.52,0.65,0.8125,0.8125,396,0.9375
Estevan,Eastment,Male,484,8/9/1942,81,Environmental Specialist,Health,Mass Customer,N,Yes,21,61926 Tomscot Hill,2019,NSW,Australia,8,0.84,1.05,1.31,1.12,396,0.938
Aloysius,Glowacz,Male,485,3/24/1979,45,Financial Advisor,Financial Services,Affluent Customer,N,No,18,07 Susan Lane,2232,NSW,Australia,10,0.89,0.89,1.11,1.11,396,0.938
Bastien,Ibbeson,Male,486,11/4/1976,47,Software Consultant,IT,Mass Customer,N,No,12,43094 Kedzie Pass,2487,NSW,Australia,5,0.62,0.62,0.78,0.66,401,0.935
Otha,Langworthy,Female,487,1/20/1967,57,Senior Financial Analyst,Financial Services,Mass Customer,N,Yes,13,678 Lyons Trail,3130,VIC,Australia,10,1.03,1.29,1.61,1.37,401,0.935
Gannie,Bargh,Male,488,2/13/1955,69,Analyst Programmer,n/a,Mass Customer,N,Yes,13,1832 Burning Wood Place,3201,VIC,Australia,7,1.09,1.36,1.7,1.45,401,0.935
Dwayne,Doel,Male,489,1/21/1978,46,Cost Accountant,Financial Services,Affluent Customer,N,Yes,17,5642 Debs Terrace,2223,NSW,Australia,11,0.6,0.75,0.94,0.94,401,0.935
Leese,Huckleby,Female,490,9/10/1977,46,Help Desk Operator,Manufacturing,High Net Worth,N,Yes,16,73 Riverside Trail,3777,VIC,Australia,7,1.02,1.28,1.59,1.59,405,0.93
Dodi,Kiggel,Female,491,8/15/1980,43,,Financial Services,Mass Customer,N,Yes,13,05 Everett Trail,2114,NSW,Australia,11,0.69,0.8625,1.078125,0.91640625,405,0.93
Kippar,Brimilcome,Male,492,11/29/1938,85,Graphic Designer,Health,Mass Customer,N,No,19,082 Welch Lane,2089,NSW,Australia,11,0.44,0.44,0.55,0.47,405,0.93
Corinna,Beretta,Female,493,2/29/1996,28,Programmer III,Health,High Net Worth,N,No,12,72 Mccormick Circle,3023,VIC,Australia,7,0.58,0.58,0.73,0.73,408,0.93
Laurie,Odlin,Female,494,3/8/1983,41,Social Worker,Health,High Net Worth,N,No,10,15669 Arizona Trail,3194,VIC,Australia,10,1.01,1.01,1.26,1.26,409,0.925
Mair,Erett,Female,495,12/5/1957,66,Speech Pathologist,n/a,Affluent Customer,N,No,18,79 Armistice Parkway,2117,NSW,Australia,7,1.09,1.09,1.36,1.36,409,0.925
Marcelia,Copins,Female,496,3/15/1946,78,,n/a,Mass Customer,N,Yes,21,330 Melby Terrace,2259,NSW,Australia,8,0.51,0.6375,0.796875,0.67734375,409,0.925
Tanner,Terlinden,Male,497,12/9/1995,28,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,14,2637 Monument Trail,3106,VIC,Australia,11,0.7,0.7,0.88,0.74,409,0.925
Hilliard,Dullard,Male,498,7/18/1954,69,Civil Engineer,Manufacturing,Mass Customer,N,No,17,37919 Old Gate Park,2163,NSW,Australia,8,0.4,0.4,0.5,0.43,409,0.925
Justinn,Haruard,Female,499,8/28/1958,65,Health Coach IV,Health,High Net Worth,N,No,11,00 Judy Terrace,2035,NSW,Australia,12,0.83,0.83,1.04,1.04,414,0.924
Wyn,Meach,Male,500,9/10/1938,85,,Manufacturing,Mass Customer,N,No,9,79 Armistice Junction,2765,NSW,Australia,9,1.03,1.03,1.2875,1.094375,415,0.921875
Art,Shardlow,Male,501,10/15/1963,60,Data Coordiator,Argiculture,Mass Customer,N,Yes,15,7 Clemons Circle,4350,QLD,Australia,2,0.6,0.75,0.94,0.8,415,0.922
Dennis,Varnham,Male,502,5/17/1953,70,Assistant Media Planner,Entertainment,Affluent Customer,N,No,17,6455 Mayfield Street,3350,VIC,Australia,3,0.47,0.47,0.59,0.59,415,0.922
Freddi,Litherborough,Female,503,1/14/1989,35,Product Engineer,Financial Services,Mass Customer,N,No,7,7873 Meadow Vale Plaza,2460,NSW,Australia,3,0.4,0.4,0.5,0.43,418,0.918
Salomon,Perkins,Male,504,1/12/1998,26,Engineer IV,Financial Services,Affluent Customer,N,Yes,1,45 Banding Hill,2009,NSW,Australia,10,0.86,1.08,1.34,1.34,419,0.916
Sherill,,Female,505,12/18/1991,32,Information Systems Manager,Financial Services,Mass Customer,N,No,3,53 Moulton Avenue,2880,NSW,Australia,1,0.91,0.91,1.14,0.97,420,0.914
Queenie,Learie,Female,506,1/24/1948,76,,Property,Mass Customer,N,No,12,7 Sauthoff Park,2073,NSW,Australia,11,0.72,0.72,0.9,0.765,420,0.91375
Etan,Prinett,Male,507,1/21/1970,54,Operator,Argiculture,Mass Customer,N,Yes,10,9082 Waywood Avenue,2250,NSW,Australia,8,0.91,1.14,1.42,1.21,420,0.914
Donaugh,Benedict,Male,508,12/1/1991,32,Systems Administrator III,Property,Mass Customer,N,No,12,30049 Brown Road,2233,NSW,Australia,9,0.97,0.97,1.21,1.03,420,0.914
Harwell,Kleinstein,Male,509,10/18/1993,30,Sales Representative,Retail,Affluent Customer,N,No,15,7 Huxley Trail,3818,VIC,Australia,5,0.45,0.45,0.56,0.56,420,0.914
Cheston,Hritzko,Male,510,11/8/1945,78,Software Engineer III,Manufacturing,Mass Customer,N,Yes,19,3 Service Center,2127,NSW,Australia,9,0.83,1.04,1.3,1.1,420,0.914
Suzy,Trounson,Female,511,7/19/1947,76,Senior Financial Analyst,Financial Services,Mass Customer,N,Yes,20,0627 Golf Center,4152,QLD,Australia,9,0.56,0.7,0.88,0.74,420,0.914
Jobie,Runacres,Female,512,1/8/1975,49,Developer IV,n/a,Mass Customer,N,Yes,18,24960 Shopko Crossing,2528,NSW,Australia,7,0.52,0.65,0.81,0.69,427,0.913
Guenna,Filisov,Female,513,2/9/1969,55,Chemical Engineer,Manufacturing,High Net Worth,N,No,13,43 Stoughton Drive,2154,NSW,Australia,9,0.68,0.68,0.85,0.85,427,0.913
Opal,Cleare,Female,514,9/26/1977,46,Database Administrator II,Property,Affluent Customer,N,Yes,20,247 Blue Bill Park Parkway,2066,NSW,Australia,9,0.48,0.6,0.75,0.75,429,0.91
Ottilie,Wanless,Female,515,11/10/1940,83,Environmental Specialist,n/a,Affluent Customer,N,No,8,2 David Pass,2720,NSW,Australia,4,0.87,0.87,1.09,1.09,430,0.91
Kipper,Circuit,Male,516,12/12/1974,49,Research Assistant IV,Argiculture,Mass Customer,N,Yes,4,3867 Barby Hill,2140,NSW,Australia,8,0.44,0.55,0.69,0.58,430,0.91
Marilin,Frome,Female,517,12/22/1975,48,Account Executive,IT,Mass Customer,N,Yes,17,52 Bobwhite Court,2219,NSW,Australia,9,0.44,0.55,0.69,0.58,430,0.91
